,STOP_WAS_INITIATED,STOP_DURATION_MINUTES,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,FRISKED_FLAG,SEARCHED_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_BORO_NAME,IMMEDIATE_STOP_FLAG,STOP_FRISK_TIME_HOUR,KMEANS_DEMEANOR
1130,Based on Radio Run,5,N,not arrested,Y,N,N,31,MALE,WHITE,6.1,300,HEA,BROWN,BLK,BROOKLYN,Y,19,3
1131,Based on Radio Run,1,Y,PETIT LARCENY,N,Y,Y,37,MALE,BLACK,5.303333333333334,140,THN,BROWN,BLK,QUEENS,Y,17,7
1132,Based on Self Initiated,2,Y,CPW,Y,Y,N,24,MALE,WHITE,5.11,170,THN,BROWN,BRO,BRONX,Y,20,2
1133,Based on Self Initiated,10,N,not arrested,N,N,N,36,MALE,BLACK,6.3,220,HEA,BROWN,BLK,MANHATTAN,Y,0,0
1134,Based on Radio Run,1,N,not arrested,N,N,N,34,MALE,BLACK,5.7,140,MED,BROWN,BLK,MANHATTAN,Y,19,3
1135,Based on Self Initiated,30,N,not arrested,N,N,N,29,MALE,BLACK,5.8,170,THN,BROWN,BLK,BROOKLYN,Y,10,9
1136,Based on Self Initiated,10,N,not arrested,N,N,N,22,MALE,WHITE,5.9,160,THN,BROWN,BLK,MANHATTAN,Y,20,0
1137,Based on Self Initiated,5,Y,PETIT LARCENY,N,Y,N,39,MALE,WHITE,5.11,190,THN,BROWN,BRO,MANHATTAN,Y,0,0
1138,Based on Radio Run,10,Y,ROBBERY,N,N,N,18,MALE,BLACK,6.0,160,THN,BROWN,OTHER,BROOKLYN,Y,23,1
1139,Based on C/W on Scene,41,N,not arrested,Y,Y,Y,32,MALE,BLACK,5.6,180,MED,BROWN,BLK,BRONX,N,20,3
1140,Based on Self Initiated,15,N,not arrested,N,N,N,44,MALE,WHITE,6.1,200,THN,BROWN,BLK,QUEENS,Y,2,1
1141,Based on Radio Run,14,N,not arrested,Y,Y,N,28,MALE,BLACK,5.5,170,MED,BROWN,BLK,BRONX,Y,11,1
1142,Based on Radio Run,4,Y,ROBBERY,N,Y,N,24,MALE,BLACK,5.11,160,THN,BROWN,BLK,MANHATTAN,Y,14,0
1143,Based on Self Initiated,9,Y,CPW,Y,Y,N,22,MALE,BLACK,5.7,170,MED,BROWN,BRO,BRONX,N,19,0
1144,Based on Radio Run,20,Y,CPW,Y,Y,Y,17,MALE,BLACK,5.6,145,THN,BROWN,BLK,QUEENS,Y,18,1
