Pair	Hypothesis	P-value
STOP_LOCATION_STREET_NAME-11 ST	Reject Null Hypothesis	7.88346353039715e-06
STOP_LOCATION_STREET_NAME-111 AVE	Reject Null Hypothesis	2.785306294641872e-07
STOP_LOCATION_STREET_NAME-111 RD	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-111 ST	Fail to Reject Null Hypothesis	0.006780687473427946
STOP_LOCATION_STREET_NAME-112 AVE	Fail to Reject Null Hypothesis	0.5867536789575318
STOP_LOCATION_STREET_NAME-112 RD	Fail to Reject Null Hypothesis	0.3441828525369875
STOP_LOCATION_STREET_NAME-112 ST	Fail to Reject Null Hypothesis	0.3952062196663525
STOP_LOCATION_STREET_NAME-113 AVE	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-113 DR	Fail to Reject Null Hypothesis	0.5867536789575318
STOP_LOCATION_STREET_NAME-113 ST	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-114 ST	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-115 AVE	Reject Null Hypothesis	7.88346353039715e-06
STOP_LOCATION_STREET_NAME-115 RD	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-116 AVE	Fail to Reject Null Hypothesis	0.3441828525369875
STOP_LOCATION_STREET_NAME-119 AVE	Fail to Reject Null Hypothesis	0.3441828525369875
STOP_LOCATION_STREET_NAME-119 RD	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-12 AVE	Fail to Reject Null Hypothesis	0.15588057510612927
STOP_LOCATION_STREET_NAME-12 AVENUE	Fail to Reject Null Hypothesis	0.5867536789575318
STOP_LOCATION_STREET_NAME-12 ST	Fail to Reject Null Hypothesis	0.8763016485202793
STOP_LOCATION_STREET_NAME-120 AVE	Fail to Reject Null Hypothesis	0.3231922936706571
STOP_LOCATION_STREET_NAME-120 AVENUE	Fail to Reject Null Hypothesis	0.5867536789575318
STOP_LOCATION_STREET_NAME-120 ST	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-120 STREET	Reject Null Hypothesis	7.88346353039715e-06
STOP_LOCATION_STREET_NAME-123 ST	Fail to Reject Null Hypothesis	0.7660254633840331
